town.names,long,lat,query,ludnosc_(31.12.2014)
Warszawa,52.232222,21.008333,[base = 'warszawa'],1735442
Kraków,50.061389,19.938333,[base = 'Kraków'],761873
Łódź,51.776667,19.454722,[base = 'Łódź'],706004
Wrocław,51.11,17.022222,[base = 'Wrocław'],634487
Poznań,52.408333,16.934167,[base = 'Poznań'],545680
Gdańsk,54.3475,18.645278,[base = 'Gdańsk'],461489
Szczecin,53.438056,14.542222,[base = 'Szczecin'],407180
Bydgoszcz,53.125,18.011111,[base = 'Bydgoszcz'],357652
Lublin,51.248056,22.570278,[base = 'lublin'],341722
Katowice,50.264167,19.023611,[base = 'Katowice'],301834
Białystok,53.135278,23.145556,[base = 'Białystok'],295459
Gdynia,54.519167,18.539444,[base = 'Gdynia'],247820
Częstochowa,50.817778,19.138333,[base = 'Częstochowa'],230123
Radom,51.403611,21.156667,[base = 'Radom'],217201
Sosnowiec,50.276667,19.139444,[base = 'Sosnowiec'],209274
Toruń,53.022222,18.611111,[base = 'Toruń'],203158
Kielce,50.874167,20.633333,[base = 'Kielce'],198857
Rzeszów,50.033611,22.004722,[base = 'Rzeszów'],185123
Gliwice,50.292222,18.6675,[base = 'Gliwice'],184415
Zabrze,50.3025,18.778056,[base = 'Zabrze'],177188
Olsztyn,53.773056,20.476111,[base = 'Olsztyn'],173831
Bielsko-Biała,49.8225,19.044444,[base = 'Bielsko'] [base = 'Biała'],173013
Bytom,50.348333,18.915556,[base = 'Bytom'],172306
Ruda Śląska,50.262778,18.853611,[base = 'rudy'] [orth = 'Śląska'],140669
Rybnik,50.098611,18.545,[base = 'rybnik'],140052
Zielona Góra,51.939722,15.505,[base = 'zielony'] [base = 'Góra'],138512
Tychy,50.123611,18.986667,[base = 'Tychy'],128621
Gorzów Wielkopolski,52.730833,15.238333,[base = 'Gorzów'] [base = 'wielkopolski'],124145
Dąbrowa Górnicza,50.321389,19.187222,[base = 'dąbrowa'] [base = 'górniczy'],123376
Elbląg,54.158333,19.402778,[base = 'Elbląg'],122368
Płock,52.547222,19.7,[base = 'Płock'],122224
Opole,50.664722,17.926944,[base = 'opole'],119574
Wałbrzych,50.770833,16.273889,[base = 'Wałbrzych'],116691
Włocławek,52.660833,19.068611,[base = 'Włocławek'],113939
Tarnów,50.029167,20.971667,[base = 'Tarnów'],111376
Chorzów,50.3,18.95,[base = 'Chorzów'],110337
Koszalin,54.190278,16.181667,[base = 'Koszalin'],108605
Kalisz,51.7625,18.089722,[base = 'Kalisz'],103373
Legnica,51.205278,16.156389,[base = 'Legnica'],101343
Grudziądz,53.486944,18.756944,[base = 'Grudziądz'],97176
Jaworzno,50.204444,19.27,[base = 'Jaworzno'],93331
Słupsk,54.465833,17.029167,[base = 'Słupsk'],93206
Jastrzębie-Zdrój,49.950278,18.575278,[base = 'jastrząb'] [base = 'zdrój'],90794
Nowy Sącz,49.625,20.695556,[base = 'nowy'] [base = 'sącz'],83853
Jelenia Góra,50.903889,15.736389,[base = 'jeleni'] [base = 'góra'],81408
Siedlce,52.166667,22.275,[base = 'Siedlce'],76603
Konin,52.2275,18.261389,[orth = 'Konin.*' & base = 'konina'],76547
Piotrków Trybunalski,51.406667,19.695556,[base = 'Piotrek'] [base = 'trybunalski'],75608
Mysłowice,50.241389,19.136667,[base = 'Mysłowice'],75037
Inowrocław,52.795833,18.261111,[base = 'Inowrocław'],74564
Piła,53.1475,16.730833,[orth = 'Pił.*' & base = 'piła'],74333
Lubin,51.3975,16.209444,[base = 'Lubin'],73658
Ostrów Wielkopolski,51.654722,17.807222,[base = 'ostrowa'] [base = 'wielkopolski'],72754
